Program,Faculty,Faculty Code,Department,Major,Major Code,Probationary Year,Year 1,Year 2,Year 3,Year 4,Year 5,Total
Master,Faculty of Arts and Humanities,FAH,Faculty of Business Administration,Business Administration (MBC),MBC,,98,85,,,,183
Master,Faculty of Arts and Humanities,FAH,Faculty of Business Administration,Accounting (MSB-ACN / ACT),MSB-ACN,,57,45,,,,102
Master,Faculty of Arts and Humanities,FAH,Faculty of Business Administration,Finance (MSB-FAN),MSB-FAN,,25,46,,,,71
Master,Faculty of Arts and Humanities,FAH,Faculty of Business Administration,International Integrated Resort Management (MSB-IRT),MSB-IRT,,53,0,,,,53
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Curriculum and Instruction (MED-CCI / CIN),MED-CCI,,19,46,,,,65
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Educational Administration (MED-EA),MED-EA,,11,15,,,,26
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Early Childhood Education and Child Development (ECD),ECD,,12,0,,,,12
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Early Childhood Education and Human Development (MED-ECN / ECH)ECH,MED-ECN,,10,7,,,,17
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Educational Psychology (MED-EY / EPY),MED-EY,,15,7,,,,22
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,Physical Education and Sport Studies (MED-PES / PSS),MED-PES,,16,29,,,,45
Master,Faculty of Arts and Humanities,FAH,Faculty of Education,School Counseling (MED-SCS),MED-SCS,,13,3,,,,16
Master,Faculty of Law,FLL,,Juridical Sciences in Chinese Language (MCL-JC / JDS),MCL-JC,,62,44,,,,106
Master,Faculty of Law,FLL,,Juridical - Political Sciences in Chinese Language (MCL-PC),MCL-PC,,1,3,,,,4
Master,Faculty of Law,FLL,,International Business Law (MIB),MIB,,27,60,,,,87
Master,Faculty of Law,FLL,,Master Of Law In English Language (MLE),MLE,,1,0,,,,1
Master,Faculty of Law,FLL,,Comparative Law (MLE-COL),MLE-COL,,1,4,,,,5
Master,Faculty of Law,FLL,,European Union Law (MLE-EUL),MLE-EUL,,4,10,,,,14
Master,Faculty of Law,FLL,,International Law (MLE-INL),MLE-INL,,11,25,,,,36
Master,Faculty of Law,FLL,,Juridical Sciences (MLL-JU),MLL-JU,,6,15,,,,21
Master,Faculty of Law,FLL,,"Chinese Language - Constitutional Law, Basic Law and Administrative Law (MSL-CBA)",MSL-CBA,,11,0,,,,11
Master,Faculty of Law,FLL,,Chinese Language - Comparative Civil Law (MSL-CIL),MSL-CIL,,19,0,,,,19
Master,Faculty of Law,FLL,,Chinese Language - International Commercial Law (MSL-CML),MSL-CML,,12,0,,,,12
Master,Faculty of Law,FLL,,Chinese Language - Comparative Criminal Law (MSL-CRL),MSL-CRL,,19,0,,,,19
Master,Faculty of Science and Technology,FST,Department of Civil and Environmental Engineering,Civil Engineering (MSC-CV / CVL),MSC-CV,,34,5,36,,,75
Master,Faculty of Science and Technology,FST,Department of Computer and Information Science,E-Commerce Technology (MSC-ECM),MSC-ECM,,1,3,44,,,48
Master,Faculty of Science and Technology,FST,Department of Computer and Information Science,E-Commerce Technology (MSC-EMM),MSC-EMM,,38,0,0,,,38
Master,Faculty of Science and Technology,FST,Department of Computer and Information Science,Software Engineering (MSC-SO / SOE),MSC-SO,,41,9,42,,,92
Master,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Electronics Engineering (MSC-EE),MSC-EE,,0,31,11,,,42
Master,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Computer Engineering (MSC-ECT),MSC-ECT,,39,0,0,,,39
Master,Faculty of Science and Technology,FST,Department of Electromechanical Engineering,Electromechanical Engineering (MSC-EM / EMG),MSC-EM,,52,28,25,,,105
Master,Faculty of Science and Technology,FST,Department of Mathematics,Mathematics (MST-MAT),MST-MAT,,43,9,,,,52
Master,Faculty of Social Sciences,FSS,Department of Communication,Communication and New Media (MASS-CNM),MASS-CNM,,28,51,,,,79
Master,Faculty of Social Sciences,FSS,Department of Economics,Economics (MSS-ECO),MSS-ECO,,21,26,,,,47
Master,Faculty of Social Sciences,FSS,Department of Government and Public Administration,International Relations and Public Policy (MASS-IRP),MASS-IRP,,32,42,,,,74
Master,Faculty of Social Sciences,FSS,Department of Government and Public Administration,European Studies (MASS-EUS / MES),MASS-EUS,,16,43,,,,59
Master,Faculty of Social Sciences,FSS,Department of Government and Public Administration,Public Administration (MPC),MPC,,43,93,,,,136
Master,Faculty of Social Sciences,FSS,Department of History,History (MASS-HIT),MASS-HIT,,22,22,,,,44
Master,Faculty of Social Sciences,FSS,Department of Psychology,Clinical Psychology (MSS-CPY),MSS-CPY,,0,15,,,,15
Master,Faculty of Social Sciences,FSS,Department of Sociology,Criminology (MSS-CR),MSS-CR,,17,32,,,,49
Master,Institute of Chinese Medical Sciences,ICMS,,Chinese Medicinal Science (MCM-CMS),MCM-CMS,,21,43,,,,64
Master,Institute of Chinese Medical Sciences,ICMS,,Medicinal Administration (MCM-MAD),MCM-MAD,,23,40,,,,63
Postgraduate Certificate/Diploma,Faculty of Education,FED,,Postgraduate Certificate in Education (Day-Time) (PED),PED,,8,,,,,8
Postgraduate Certificate/Diploma,Faculty of Education,FED,,Postgraduate Certificate in Education (Evening) (PEE),PEE,,19,,,,,19
Postgraduate Certificate/Diploma,Faculty of Law,FLL,,Postgraduate Certificate in Law in Chinese Language (LCL),LCL,,9,,,,,9
Postgraduate Certificate/Diploma,Faculty of Law,FLL,,Postgraduate Programme in International Business Law (LIB),LIB,,2,,,,,2
Postgraduate Certificate/Diploma,Faculty of Law,FLL,,Introduction to Macau Law (Two-Year) (LML),LML,,25,43,,,,68
Bachelor,Faculty of Arts and Humanities,FAH,Department of Chinese,Chinese Language and Literature (CCH),CCH,,0,0,0,61,,61
Bachelor,Faculty of Arts and Humanities,FAH,Department of Chinese,Chinese Language and Literature (CLL11),CLL11,,58,48,60,6,,172
Bachelor,Faculty of Arts and Humanities,FAH,Department of English,English Studies (ELL),ELL,,0,1,0,53,,54
Bachelor,Faculty of Arts and Humanities,FAH,Department of English,English Studies (ENS11),ENS11,,74,53,54,3,,184
Bachelor,Faculty of Arts and Humanities,FAH,Centre for Japanese Studies,Japanese Studies (JAP11),JAP11,,52,37,40,8,,137
Bachelor,Faculty of Arts and Humanities,FAH,Centre for Japanese Studies,Japanese Studies (JN),JN,,0,0,1,42,,43
Bachelor,Faculty of Arts and Humanities,FAH,Department of Portuguese,Portuguese Studies (PTS),PTS,,0,0,26,44,,70
Bachelor,Faculty of Arts and Humanities,FAH,Department of Portuguese,Portuguese Studies (PTS11),PTS11,,67,73,69,5,,214
Bachelor,Faculty of Business Administration,FBA,,Business Administration (BBA / GBS11),BBA,,229,33,26,24,,312
Bachelor,Faculty of Business Administration,FBA,Department of Accounting and Information Management,Accounting (BSc-ACC / ACC11 / ACC13),BSc-ACC,,100,84,50,147,,381
Bachelor,Faculty of Business Administration,FBA,Department of Accounting and Information Management,Business Information System (BIS),BIS,,,,,1,,1
Bachelor,Faculty of Business Administration,FBA,Department of Accounting and Information Management,Electronic Business (ELB / ELB11),ELB,,,15,14,33,,62
Bachelor,Faculty of Business Administration,FBA,Department of Finance and Business Economics,Business Economics (BEC / BEC11),BEC,,,28,25,37,,90
Bachelor,Faculty of Business Administration,FBA,Department of Finance and Business Economics,Economics and International Finance (EIF),EIF,,,,,4,,4
Bachelor,Faculty of Business Administration,FBA,Department of Finance and Business Economics,Financial Controllership (FIC / FIC11),FIC,,,19,16,28,,63
Bachelor,Faculty of Business Administration,FBA,Department of Finance and Business Economics,Finance (FNC),FNC,,,,,1,,1
Bachelor,Faculty of Business Administration,FBA,Department of Finance and Business Economics,Finance (BSc-FNS / FNC11),BSc-FNS,,56,66,48,104,,274
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Global Business Management (GBM / GBM11),GBM,,,40,31,47,,118
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Gaming Management (GM),GM,,,,,1,,1
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Human Resources Management (HRM / HRM11),HRM,,,53,57,116,,226
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Management (MGM),MGM,,,,,1,,1
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Marketing (MKK / MTG / MKG11),MKK,,,59,60,71,,190
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Gaming and Hospitality Management (BSc-GHM),BSc-GHM,,,,1,65,,66
Bachelor,Faculty of Business Administration,FBA,Department of Management and Marketing,Hospitality and Gaming Management (BSc-HGM11),BSc-HGM11,,75,67,64,3,,209
Bachelor,Faculty of Education,FED,,Chinese (CHN / CHN11),CHN,,39,27,9,46,,121
Bachelor,Faculty of Education,FED,,English (EN / ENN / ENG11),EN,,26,27,26,27,,106
Bachelor,Faculty of Education,FED,,Mathematics (MMS),MMS,,,,,18,,18
Bachelor,Faculty of Education,FED,,Pre-Primary Education (PPY / PPE11),PPY,,40,31,23,23,,117
Bachelor,Faculty of Education,FED,,Primary Education (PRY / PYE11),PRY,,33,35,26,36,,130
Bachelor,Faculty of Law,FLL,,Law in Chinese Language (Evening) (CL),CL,,,,2,2,,4
Bachelor,Faculty of Law,FLL,,Law in Chinese Language (Day-Time) (CLD),CLD,,,,,1,,1
Bachelor,Faculty of Law,FLL,,Law (Evening) (BL / BLE11),BLE11,,49,36,31,34,,150
Bachelor,Faculty of Law,FLL,,Law (Day-Time) (BLD / BLD13),BLD13,,53,47,48,51,,199
Bachelor,Faculty of Law,FLL,,Law (WA),WA,,14,24,12,13,11,74
Bachelor,Faculty of Science and Technology,FST,Department of Civil and Environmental Engineering,Civil Engineering (CE / CVE11),CE,,52,37,11,83,,183
Bachelor,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Computer Engineering (ECE11),ECE11,,42,14,26,47,,129
Bachelor,Faculty of Science and Technology,FST,Department of Electrical and Computer Engineering,Electrical and Electronics Engineering (EE),EE,,,,3,31,,34
Bachelor,Faculty of Science and Technology,FST,Department of Electromechanical Engineering,Electromechanical Engineering (EL/ EME11),EL,,53,4,46,78,,181
Bachelor,Faculty of Science and Technology,FST,Department of Computer and Information Science,Computer Science (CPS11 / CPS13),CPS13,,54,27,23,34,,138
Bachelor,Faculty of Science and Technology,FST,Department of Computer and Information Science,Software Engineering (SO),SO,,,,,41,,41
Bachelor,Faculty of Science and Technology,FST,Department of Mathematics,Mathematics (MTH11),MTH11,,42,25,19,25,,111
Bachelor,Faculty of Social Sciences,FSS,Department of Communication,English Studies (Communications) (COM),COM,,,,1,64,,65
Bachelor,Faculty of Social Sciences,FSS,Department of Communication,Communication (COM11),COM11,,94,95,81,25,,295
Bachelor,Faculty of Social Sciences,FSS,Department of Communication,Journalism and Public Communication (JPC),JPC,,,,,49,,49
Bachelor,Faculty of Social Sciences,FSS,Department of Economics,Economics (EC / ECN11),EC,,73,71,61,52,,257
Bachelor,Faculty of Social Sciences,FSS,Department of Government and Public Administration,Public Administration (Day-Time) (PAM),PAM,,,,,2,,2
Bachelor,Faculty of Social Sciences,FSS,Department of Government and Public Administration,Government and Public Administration (GPA / GPA11),GPA,,86,77,73,64,,300
Bachelor,Faculty of Social Sciences,FSS,Department of History,History (HST / HST11),HST,,35,23,21,35,,114
Bachelor,Faculty of Social Sciences,FSS,Department of Psychology,Psychology (PSY / PSY11),PSY,,46,26,27,56,,155
Bachelor,Faculty of Social Sciences,FSS,Department of Sociology,Sociology (SOC / SOC11),SOC,,40,25,37,38,,140
Bachelor,Institute of Chinese Medical Sciences,ICMS,,Biomedical Sciences (BIO11),BIO11,,10,14,8,0,,32
